VTX, IDX, POSITION.x, POSITION.y, POSITION.z, TEXCOORD0.x, TEXCOORD0.y
26199, 5069,  0.36767, -0.33146,  0.32935,  0.56031,  0.3294
26200, 5070,  0.3521, -0.3345,  0.31623,  0.56124,  0.3113
26201, 5079,  0.35288, -0.31049,  0.30529,  0.58088,  0.31396
26202, 5069,  0.36767, -0.33146,  0.32935,  0.56031,  0.3294
26203, 5079,  0.35288, -0.31049,  0.30529,  0.58088,  0.31396
26204, 5080,  0.36706, -0.30687,  0.31842,  0.58065,  0.33164
26205, 5080,  0.36706, -0.30687,  0.31842,  0.58065,  0.33164
26206, 5079,  0.35288, -0.31049,  0.30529,  0.58088,  0.31396
26207, 5081,  0.3575, -0.29001,  0.2845,  0.60417,  0.31481
26208, 5080,  0.36706, -0.30687,  0.31842,  0.58065,  0.33164
26209, 5081,  0.3575, -0.29001,  0.2845,  0.60417,  0.31481
26210, 5082,  0.36765, -0.28471,  0.29826,  0.60341,  0.33128
26211, 5083,  0.38308, -0.32316,  0.34444,  0.56021,  0.34819
26212, 5069,  0.36767, -0.33146,  0.32935,  0.56031,  0.3294
26213, 5080,  0.36706, -0.30687,  0.31842,  0.58065,  0.33164
26214, 5083,  0.38308, -0.32316,  0.34444,  0.56021,  0.34819
26215, 5080,  0.36706, -0.30687,  0.31842,  0.58065,  0.33164
26216, 5084,  0.38312, -0.29819,  0.33069,  0.58066,  0.34951
26217, 5085,  0.39929, -0.31581,  0.36042,  0.56112,  0.36245
26218, 5083,  0.38308, -0.32316,  0.34444,  0.56021,  0.34819
26219, 5084,  0.38312, -0.29819,  0.33069,  0.58066,  0.34951
26220, 5085,  0.39929, -0.31581,  0.36042,  0.56112,  0.36245
26221, 5084,  0.38312, -0.29819,  0.33069,  0.58066,  0.34951
26222, 5086,  0.40, -0.28787,  0.3455,  0.5807,  0.36492
26223, 5086,  0.40, -0.28787,  0.3455,  0.5807,  0.36492
26224, 5084,  0.38312, -0.29819,  0.33069,  0.58066,  0.34951
26225, 5087,  0.38602, -0.27367,  0.31214,  0.60231,  0.35047
26226, 5087,  0.38602, -0.27367,  0.31214,  0.60231,  0.35047
26227, 5084,  0.38312, -0.29819,  0.33069,  0.58066,  0.34951
26228, 5080,  0.36706, -0.30687,  0.31842,  0.58065,  0.33164
26229, 5087,  0.38602, -0.27367,  0.31214,  0.60231,  0.35047
26230, 5080,  0.36706, -0.30687,  0.31842,  0.58065,  0.33164
26231, 5082,  0.36765, -0.28471,  0.29826,  0.60341,  0.33128
26232, 5086,  0.40, -0.28787,  0.3455,  0.5807,  0.36492
26233, 5087,  0.38602, -0.27367,  0.31214,  0.60231,  0.35047
26234, 5088,  0.40732, -0.26385,  0.32439,  0.60135,  0.36705
26235, 5088,  0.40732, -0.26385,  0.32439,  0.60135,  0.36705
26236, 5087,  0.38602, -0.27367,  0.31214,  0.60231,  0.35047
26237, 5089,  0.3928, -0.25796,  0.27966,  0.6286,  0.3467
26238, 5088,  0.40732, -0.26385,  0.32439,  0.60135,  0.36705
26239, 5089,  0.3928, -0.25796,  0.27966,  0.6286,  0.3467
26240, 5090,  0.41631, -0.24447,  0.29572,  0.62744,  0.36568
26241, 5089,  0.3928, -0.25796,  0.27966,  0.6286,  0.3467
26242, 5091,  0.43312, -0.25422,  0.26817,  0.65421,  0.36379
26243, 5090,  0.41631, -0.24447,  0.29572,  0.62744,  0.36568
26244, 5089,  0.3928, -0.25796,  0.27966,  0.6286,  0.3467
26245, 5092,  0.41504, -0.27189,  0.24841,  0.66139,  0.34388
26246, 5091,  0.43312, -0.25422,  0.26817,  0.65421,  0.36379
26247, 5093,  0.43724, -0.29495,  0.23374,  0.68584,  0.337
26248, 5091,  0.43312, -0.25422,  0.26817,  0.65421,  0.36379
26249, 5092,  0.41504, -0.27189,  0.24841,  0.66139,  0.34388
26250, 5093,  0.43724, -0.29495,  0.23374,  0.68584,  0.337
26251, 5094,  0.44577, -0.2676,  0.25549,  0.66848,  0.36254
26252, 5091,  0.43312, -0.25422,  0.26817,  0.65421,  0.36379
26253, 5094,  0.44577, -0.2676,  0.25549,  0.66848,  0.36254
26254, 5095,  0.44336, -0.2415,  0.28194,  0.65094,  0.37202
26255, 5091,  0.43312, -0.25422,  0.26817,  0.65421,  0.36379
26256, 5094,  0.44577, -0.2676,  0.25549,  0.66848,  0.36254
26257, 5096,  0.45743, -0.24964,  0.27174,  0.65803,  0.3753
26258, 5095,  0.44336, -0.2415,  0.28194,  0.65094,  0.37202
26259, 5082,  0.36765, -0.28471,  0.29826,  0.60341,  0.33128
26260, 5081,  0.3575, -0.29001,  0.2845,  0.60417,  0.31481
26261, 5097,  0.37423, -0.27596,  0.25444,  0.63287,  0.31856
26262, 5082,  0.36765, -0.28471,  0.29826,  0.60341,  0.33128
26263, 5097,  0.37423, -0.27596,  0.25444,  0.63287,  0.31856
26264, 5098,  0.37694, -0.26943,  0.26703,  0.63007,  0.33102
26265, 5087,  0.38602, -0.27367,  0.31214,  0.60231,  0.35047
26266, 5098,  0.37694, -0.26943,  0.26703,  0.63007,  0.33102
26267, 5089,  0.3928, -0.25796,  0.27966,  0.6286,  0.3467
26268, 5099,  0.40376, -0.2845,  0.23422,  0.665,  0.32898
26269, 5098,  0.37694, -0.26943,  0.26703,  0.63007,  0.33102
26270, 5097,  0.37423, -0.27596,  0.25444,  0.63287,  0.31856
26271, 5099,  0.40376, -0.2845,  0.23422,  0.665,  0.32898
26272, 5092,  0.41504, -0.27189,  0.24841,  0.66139,  0.34388
26273, 5089,  0.3928, -0.25796,  0.27966,  0.6286,  0.3467
26274, 5099,  0.40376, -0.2845,  0.23422,  0.665,  0.32898
26275, 5089,  0.3928, -0.25796,  0.27966,  0.6286,  0.3467
26276, 5098,  0.37694, -0.26943,  0.26703,  0.63007,  0.33102
26277, 5099,  0.40376, -0.2845,  0.23422,  0.665,  0.32898
26278, 5097,  0.37423, -0.27596,  0.25444,  0.63287,  0.31856
26279, 5100,  0.40149, -0.28925,  0.22448,  0.66631,  0.31959
26280, 5087,  0.38602, -0.27367,  0.31214,  0.60231,  0.35047
26281, 5082,  0.36765, -0.28471,  0.29826,  0.60341,  0.33128
26282, 5098,  0.37694, -0.26943,  0.26703,  0.63007,  0.33102
26283, 5096,  0.45743, -0.24964,  0.27174,  0.65803,  0.3753
26284, 5101,  0.45121, -0.23422,  0.28957,  0.65033,  0.37897
26285, 5095,  0.44336, -0.2415,  0.28194,  0.65094,  0.37202
26286, 5101,  0.45121, -0.23422,  0.28957,  0.65033,  0.37897
26287, 5102,  0.43093, -0.23476,  0.30639,  0.62705,  0.37734
26288, 5095,  0.44336, -0.2415,  0.28194,  0.65094,  0.37202
26289, 5102,  0.43093, -0.23476,  0.30639,  0.62705,  0.37734
26290, 5090,  0.41631, -0.24447,  0.29572,  0.62744,  0.36568
26291, 5091,  0.43312, -0.25422,  0.26817,  0.65421,  0.36379
